Date,Price,Open,High,Low,Vol.,Change %,
9-Dec-11,3,3,3,2.9,34.39K,0.00%,510
8-Dec-11,3,3,3,2.9,39.93K,0.00%,509
7-Dec-11,3,3,3.1,2.9,58.12K,0.00%,508
6-Dec-11,3,2.9,3,2.9,55.60K,5.21%,507
5-Dec-11,2.9,2.8,2.9,2.8,30.89K,1.77%,506
4-Dec-11,2.8,2.8,2.9,2.6,95.22K,0.00%,505
3-Dec-11,2.8,3.1,3.1,2.8,123.02K,-10.58%,504
2-Dec-11,3.1,3.1,3.1,3,57.50K,1.96%,503
1-Dec-11,3.1,3,3.1,2.9,63.86K,3.03%,502
30-Nov-11,3,2.8,3.1,2.7,120.15K,8.00%,501
29-Nov-11,2.8,2.5,3,2.5,180.53K,7.84%,500
28-Nov-11,2.5,2.5,2.5,2.4,41.26K,2.82%,499
27-Nov-11,2.5,2.5,2.5,2.4,22.73K,0.00%,498
26-Nov-11,2.5,2.5,2.5,2.4,36.12K,0.00%,497
25-Nov-11,2.5,2.4,2.5,2.4,44.41K,3.29%,496
24-Nov-11,2.4,2.3,2.6,2.3,87.27K,4.29%,495
23-Nov-11,2.3,2.3,2.4,2.3,40.00K,0.00%,494
22-Nov-11,2.3,2.3,2.3,2.3,34.21K,0.00%,493
21-Nov-11,2.3,2.2,2.3,2.2,41.73K,4.09%,492
20-Nov-11,2.2,2.2,2.5,2.2,79.73K,0.00%,491
19-Nov-11,2.2,2,2.3,2,78.30K,7.32%,490
18-Nov-11,2,2.3,2.4,2,98.14K,-8.89%,489
17-Nov-11,2.3,2.6,2.6,2,117.28K,-12.11%,488
16-Nov-11,2.6,2.3,2.6,2.3,44.21K,9.87%,487
15-Nov-11,2.3,2.2,2.5,2.1,76.42K,4.95%,486
14-Nov-11,2.2,3,3,2.1,382.19K,-26.00%,485
13-Nov-11,3,3,3,3,9.63K,0.00%,484
12-Nov-11,3,3.1,3.1,3,20.38K,0.00%,483
11-Nov-11,3.1,2.8,3.1,2.8,44.85K,8.45%,482
10-Nov-11,2.8,3,3,2.8,33.93K,-3.73%,481
9-Nov-11,3,3,3.1,2.9,52.20K,-2.96%,480
8-Nov-11,3,3,3.2,3,60.34K,0.00%,479
7-Nov-11,3,3,3,3,23.99K,0.00%,478
6-Nov-11,3,3,3,2.9,17.23K,0.00%,477
5-Nov-11,3,3.1,3.2,2.8,52.96K,-4.50%,476
4-Nov-11,3.1,3.2,3.2,3,39.51K,0.00%,475
3-Nov-11,3.2,3.3,3.3,3.1,24.52K,-3.08%,474
2-Nov-11,3.3,3.2,3.4,3.1,32.31K,3.17%,473
1-Nov-11,3.2,3.3,3.3,3.1,37.89K,-3.08%,472
31-Oct-11,3.3,3.3,3.3,3.1,30.98K,0.00%,471
30-Oct-11,3.3,3.6,3.7,3.2,50.69K,-8.66%,470
29-Oct-11,3.6,3.2,3.8,3.1,79.54K,12.23%,469
28-Oct-11,3.2,3,3.3,2.9,52.37K,4.93%,468
27-Oct-11,3,2.8,3.1,2.7,58.70K,9.75%,467
26-Oct-11,2.8,2.8,2.8,2.7,29.40K,0.00%,466
25-Oct-11,2.8,2.5,3,2.4,101.41K,8.63%,465
24-Oct-11,2.5,3.2,3.2,2.5,92.23K,-19.56%,464
23-Oct-11,3.2,3.2,3.2,3,37.04K,0.00%,463
22-Oct-11,3.2,2.6,3.3,2.5,120.16K,22.96%,462
21-Oct-11,2.6,2.3,2.7,2.3,72.97K,9.36%,461
20-Oct-11,2.3,2.3,2.4,2.2,48.86K,3.52%,460
